nohup: ignoring input
Setting GPU: 2
Running on: [RocmDevice(id=0)]
Ablations: ['baseline', 'no_logsumexp_init', 'fewer_inner_steps_500', 'more_inner_steps_4000', 'inner_lr_5e-2', 'inner_lr_1e-3', 'logsumexp_gamma_1', 'logsumexp_gamma_0.01', 'logsumexp_gamma_0.001', 'no_adam', 'landmarks_fps', 'landmarks_32', 'landmarks_64', 'landmarks_256', 'hidden_32_32', 'hidden_64_64', 'hidden_256_256', 'hidden_128_128_128', 'lr_1e-4', 'batch_512', 'batch_128']
Manifolds: ['S2']

======================================================================
MANIFOLD: S2
======================================================================

[S2] Ablation: baseline
[     1] loss=-0.0286 | res=1.80e-04 | grad=5.27e+00 | 9.5s
[     2] loss=-0.1538 | res=4.41e-16 | grad=5.25e+00 | 1.1s
[     3] loss=-0.2617 | res=1.44e-04 | grad=4.94e+00 | 1.1s
[     4] loss=-0.3290 | res=8.82e-05 | grad=4.19e+00 | 1.1s
[     5] loss=-0.4696 | res=3.19e-04 | grad=4.57e+00 | 1.1s
[     6] loss=-0.5301 | res=8.10e-04 | grad=3.97e+00 | 0.8s
[     7] loss=-0.6204 | res=2.83e-09 | grad=3.56e+00 | 0.9s
[     8] loss=-0.7221 | res=2.49e-04 | grad=3.25e+00 | 1.2s
[     9] loss=-0.6977 | res=1.63e-04 | grad=1.74e+00 | 1.2s
[    10] loss=-0.7628 | res=1.71e-04 | grad=1.37e+00 | 1.1s
[    11] loss=-0.7372 | res=1.99e-04 | grad=7.70e-01 | 1.2s
[    12] loss=-0.8707 | res=1.03e-04 | grad=5.89e-01 | 1.1s
[    13] loss=-0.7396 | res=6.55e-04 | grad=5.71e-01 | 1.2s
[    14] loss=-0.8282 | res=1.95e-04 | grad=8.62e-01 | 1.2s
[    15] loss=-0.8341 | res=3.51e-04 | grad=8.81e-01 | 1.1s
[    16] loss=-0.8433 | res=1.13e-04 | grad=1.03e+00 | 1.1s
[    17] loss=-0.8809 | res=5.59e-04 | grad=8.47e-01 | 1.1s
[    18] loss=-0.7692 | res=3.05e-04 | grad=1.01e+00 | 1.2s
[    19] loss=-0.8297 | res=8.36e-04 | grad=1.33e+00 | 1.2s
[    20] loss=-0.8632 | res=5.05e-04 | grad=1.05e+00 | 1.2s
[    21] loss=-0.7772 | res=9.88e-05 | grad=9.82e-01 | 1.2s
[    22] loss=-0.7607 | res=3.63e-04 | grad=1.20e+00 | 1.1s
[    23] loss=-0.9280 | res=2.32e-04 | grad=5.70e-01 | 1.2s
[    24] loss=-0.7883 | res=7.38e-04 | grad=1.07e+00 | 1.2s
[    25] loss=-0.8356 | res=3.93e-04 | grad=4.21e-01 | 1.2s
[    26] loss=-0.7233 | res=4.14e-04 | grad=6.55e-01 | 1.2s
[    27] loss=-0.7601 | res=3.89e-04 | grad=3.84e-01 | 1.1s
[    28] loss=-0.7336 | res=2.73e-08 | grad=4.50e-01 | 1.1s
[    29] loss=-0.6819 | res=8.95e-09 | grad=5.48e-01 | 1.1s
[    30] loss=-0.7503 | res=4.70e-04 | grad=2.93e-01 | 1.2s
[    31] loss=-0.8142 | res=9.29e-09 | grad=6.27e-01 | 1.2s
[    32] loss=-0.8815 | res=3.81e-04 | grad=9.77e-01 | 1.2s
[    33] loss=-0.7929 | res=1.91e-04 | grad=8.22e-01 | 1.2s
[    34] loss=-0.8823 | res=5.23e-05 | grad=7.79e-01 | 1.1s
[    35] loss=-0.7282 | res=3.23e-04 | grad=5.16e-01 | 1.1s
[    36] loss=-0.8699 | res=5.65e-05 | grad=4.71e-01 | 1.2s
[    37] loss=-0.9065 | res=5.28e-04 | grad=9.52e-01 | 1.2s
[    38] loss=-0.7007 | res=1.34e-04 | grad=1.21e+00 | 1.2s
[    39] loss=-0.8231 | res=8.77e-04 | grad=6.92e-01 | 1.1s
[    40] loss=-0.7879 | res=5.12e-04 | grad=4.03e-01 | 1.1s
[    41] loss=-0.9067 | res=3.45e-04 | grad=3.93e-01 | 1.2s
