nohup: ignoring input
Setting GPU: 3
Running on: [RocmDevice(id=0)]
Ablations: ['baseline', 'no_logsumexp_init', 'fewer_inner_steps_500', 'more_inner_steps_4000', 'inner_lr_5e-2', 'inner_lr_1e-3', 'logsumexp_gamma_1', 'logsumexp_gamma_0.01', 'logsumexp_gamma_0.001', 'no_adam', 'landmarks_fps', 'landmarks_32', 'landmarks_64', 'landmarks_256', 'hidden_32_32', 'hidden_64_64', 'hidden_256_256', 'hidden_128_128_128', 'lr_1e-4', 'batch_512', 'batch_128']
Manifolds: ['T2']

======================================================================
MANIFOLD: T2
======================================================================

[T2] Ablation: baseline
[    71] loss=-2.3151 | res=2.27e-02 | grad=5.86e-01 | 1.1s
[    72] loss=-2.2754 | res=2.75e-02 | grad=1.21e+00 | 1.1s
[    73] loss=-2.4559 | res=2.47e-02 | grad=8.62e-01 | 1.1s
[    74] loss=-2.5432 | res=2.20e-02 | grad=9.99e-01 | 1.1s
[    75] loss=-2.1726 | res=2.13e-02 | grad=3.39e-01 | 1.1s
[    76] loss=-2.4064 | res=1.74e-02 | grad=5.65e-01 | 1.1s
[    77] loss=-2.3260 | res=2.40e-02 | grad=1.94e-01 | 1.0s
[    78] loss=-2.1826 | res=2.25e-02 | grad=6.60e-01 | 1.0s
[    79] loss=-2.2446 | res=1.93e-02 | grad=4.78e-01 | 1.0s
[    80] loss=-2.0820 | res=2.23e-02 | grad=1.01e+00 | 1.0s
[    81] loss=-2.2242 | res=2.86e-02 | grad=5.36e-01 | 1.0s
[    82] loss=-2.4620 | res=2.47e-02 | grad=8.31e-01 | 1.0s
[    83] loss=-2.0250 | res=3.04e-02 | grad=8.21e-01 | 1.0s
[    84] loss=-2.3678 | res=3.07e-02 | grad=1.19e+00 | 1.0s
[    85] loss=-2.4912 | res=2.26e-02 | grad=9.52e-01 | 1.0s
[    86] loss=-2.2969 | res=2.68e-02 | grad=3.93e-01 | 1.0s
[    87] loss=-2.2628 | res=2.88e-02 | grad=5.17e-01 | 1.0s
[    88] loss=-2.3484 | res=2.55e-02 | grad=4.46e-01 | 1.0s
[    89] loss=-2.2783 | res=2.11e-02 | grad=1.14e-01 | 1.0s
[    90] loss=-2.2219 | res=2.41e-02 | grad=3.22e-01 | 1.0s
[    91] loss=-2.2971 | res=3.17e-02 | grad=2.42e-01 | 1.1s
[    92] loss=-2.4861 | res=1.84e-02 | grad=4.45e-01 | 1.1s
[    93] loss=-2.1327 | res=2.32e-02 | grad=5.11e-01 | 1.0s
[    94] loss=-2.5510 | res=1.91e-02 | grad=6.42e-01 | 1.0s
[    95] loss=-2.2220 | res=2.87e-02 | grad=3.78e-01 | 1.0s
[    96] loss=-2.1329 | res=2.64e-02 | grad=6.16e-01 | 1.0s
[    97] loss=-2.5153 | res=2.32e-02 | grad=6.51e-01 | 1.0s
[    98] loss=-2.4439 | res=2.86e-02 | grad=3.27e-01 | 1.0s
[    99] loss=-2.1515 | res=2.44e-02 | grad=1.19e+00 | 1.0s
[   100] loss=-2.4331 | res=2.18e-02 | grad=2.49e-01 | 1.0s
[   101] loss=-2.3027 | res=2.12e-02 | grad=2.08e-01 | 1.0s
[   102] loss=-2.2705 | res=2.84e-02 | grad=8.76e-01 | 1.0s
[   103] loss=-2.3963 | res=2.58e-02 | grad=4.89e-01 | 1.0s
[   104] loss=-2.2666 | res=2.72e-02 | grad=3.88e-01 | 1.0s
[   105] loss=-2.4176 | res=2.68e-02 | grad=8.46e-01 | 1.0s
[   106] loss=-2.2788 | res=1.65e-02 | grad=5.23e-01 | 1.0s
[   107] loss=-2.2042 | res=2.70e-02 | grad=7.34e-01 | 1.0s
[   108] loss=-2.3382 | res=2.31e-02 | grad=5.11e-01 | 1.0s
[   109] loss=-2.3349 | res=3.02e-02 | grad=4.83e-01 | 1.0s
[   110] loss=-2.2060 | res=2.96e-02 | grad=5.22e-01 | 1.0s
[   111] loss=-2.2356 | res=3.04e-02 | grad=6.24e-01 | 1.1s
[   112] loss=-2.3208 | res=2.28e-02 | grad=9.31e-01 | 1.1s
[   113] loss=-2.2230 | res=2.27e-02 | grad=7.54e-01 | 1.1s
[   114] loss=-2.3373 | res=2.57e-02 | grad=8.60e-01 | 1.1s
[   115] loss=-2.4649 | res=2.64e-02 | grad=5.75e-01 | 1.1s
[   116] loss=-2.2363 | res=2.95e-02 | grad=2.06e-01 | 1.1s
[   117] loss=-2.2468 | res=2.35e-02 | grad=8.03e-01 | 1.1s
[   118] loss=-2.3407 | res=1.88e-02 | grad=3.51e-01 | 1.0s
[   119] loss=-2.3675 | res=2.17e-02 | grad=9.01e-01 | 1.0s
[   120] loss=-2.0509 | res=2.53e-02 | grad=6.62e-01 | 1.0s
[   121] loss=-2.4382 | res=2.90e-02 | grad=5.23e-01 | 1.0s
[   122] loss=-1.9141 | res=2.23e-02 | grad=6.22e-01 | 1.0s
[   123] loss=-2.4238 | res=3.08e-02 | grad=4.73e-01 | 1.0s
[   124] loss=-2.2097 | res=2.90e-02 | grad=1.14e+00 | 1.0s
[   125] loss=-2.4143 | res=2.19e-02 | grad=7.42e-01 | 1.0s
[   126] loss=-2.2203 | res=2.78e-02 | grad=8.14e-01 | 1.0s
[   127] loss=-2.5803 | res=2.06e-02 | grad=8.74e-01 | 1.0s
[   128] loss=-2.5963 | res=2.40e-02 | grad=6.15e-01 | 1.0s
[   129] loss=-2.4045 | res=2.66e-02 | grad=3.47e-01 | 1.0s
[   130] loss=-2.4780 | res=2.14e-02 | grad=6.49e-01 | 1.0s
[   131] loss=-2.2989 | res=2.54e-02 | grad=5.71e-01 | 1.0s
[   132] loss=-2.4381 | res=2.53e-02 | grad=3.75e-01 | 1.0s
[   133] loss=-2.3976 | res=3.05e-02 | grad=4.55e-01 | 1.0s
[   134] loss=-2.3245 | res=2.50e-02 | grad=4.75e-01 | 1.0s
[   135] loss=-2.3670 | res=2.14e-02 | grad=4.75e-01 | 1.0s
[   136] loss=-2.6891 | res=2.63e-02 | grad=7.41e-01 | 1.0s
[   137] loss=-2.2485 | res=3.02e-02 | grad=7.78e-01 | 1.1s
[   138] loss=-2.2328 | res=2.58e-02 | grad=5.32e-01 | 1.1s
[   139] loss=-2.2967 | res=3.06e-02 | grad=8.98e-01 | 1.1s
[   140] loss=-2.1381 | res=2.06e-02 | grad=4.98e-01 | 1.0s
[   141] loss=-2.1333 | res=2.80e-02 | grad=4.58e-01 | 1.1s
[   142] loss=-2.5613 | res=2.19e-02 | grad=9.98e-01 | 1.1s
[   143] loss=-2.0609 | res=2.47e-02 | grad=6.62e-01 | 1.1s
[   144] loss=-2.2057 | res=2.31e-02 | grad=7.46e-01 | 1.0s
[   145] loss=-2.3589 | res=2.54e-02 | grad=9.81e-01 | 1.0s
[   146] loss=-2.4264 | res=3.12e-02 | grad=5.65e-01 | 1.1s
[   147] loss=-2.1933 | res=2.84e-02 | grad=4.22e-01 | 1.0s
[   148] loss=-2.2020 | res=2.58e-02 | grad=1.69e-01 | 1.1s
[   149] loss=-2.2863 | res=2.45e-02 | grad=7.08e-01 | 1.1s
[   150] loss=-2.3062 | res=2.53e-02 | grad=1.08e+00 | 1.1s
[   151] loss=-2.3634 | res=2.21e-02 | grad=1.12e+00 | 0.9s
[   152] loss=-2.2144 | res=2.40e-02 | grad=1.22e-01 | 0.9s
[   153] loss=-2.3000 | res=2.71e-02 | grad=7.16e-01 | 0.9s
[   154] loss=-2.3584 | res=2.33e-02 | grad=2.86e-01 | 0.9s
[   155] loss=-2.4569 | res=2.38e-02 | grad=3.67e-01 | 0.9s
[   156] loss=-2.2580 | res=2.29e-02 | grad=2.51e-01 | 0.9s
[   157] loss=-2.4028 | res=2.28e-02 | grad=1.72e-01 | 0.9s
[   158] loss=-2.3062 | res=2.63e-02 | grad=5.64e-01 | 0.9s
[   159] loss=-2.4204 | res=2.97e-02 | grad=9.00e-01 | 0.9s
[   160] loss=-2.3031 | res=2.74e-02 | grad=4.99e-01 | 0.9s
[   161] loss=-2.3339 | res=2.63e-02 | grad=2.57e-01 | 0.9s
[   162] loss=-2.3136 | res=2.45e-02 | grad=7.80e-01 | 1.0s
[   163] loss=-2.3590 | res=3.25e-02 | grad=6.28e-01 | 1.0s
[   164] loss=-2.3991 | res=2.71e-02 | grad=2.54e-01 | 1.0s
[   165] loss=-2.2609 | res=2.67e-02 | grad=5.89e-01 | 1.0s
[   166] loss=-2.1952 | res=2.79e-02 | grad=4.65e-01 | 1.0s
[   167] loss=-2.3307 | res=2.50e-02 | grad=3.93e-01 | 1.0s
[   168] loss=-2.3705 | res=2.40e-02 | grad=5.72e-01 | 0.9s
[   169] loss=-2.2346 | res=2.93e-02 | grad=5.68e-01 | 0.9s
[   170] loss=-2.3154 | res=2.29e-02 | grad=5.28e-01 | 0.9s
[   171] loss=-2.0986 | res=3.16e-02 | grad=7.35e-01 | 0.9s
[   172] loss=-2.0524 | res=2.55e-02 | grad=4.62e-01 | 0.9s
[   173] loss=-2.5362 | res=2.81e-02 | grad=7.19e-01 | 1.0s
[   174] loss=-2.3202 | res=2.63e-02 | grad=4.17e-01 | 1.0s
[   175] loss=-2.2702 | res=1.67e-02 | grad=1.11e+00 | 1.1s
[   176] loss=-2.3641 | res=2.42e-02 | grad=3.86e-01 | 1.0s
[   177] loss=-2.2152 | res=3.03e-02 | grad=5.62e-01 | 0.9s
[   178] loss=-2.3809 | res=2.21e-02 | grad=4.20e-01 | 1.0s
[   179] loss=-2.1481 | res=2.89e-02 | grad=3.50e-01 | 1.1s
[   180] loss=-2.3295 | res=2.47e-02 | grad=2.49e-01 | 1.0s
[   181] loss=-2.4287 | res=2.53e-02 | grad=4.81e-01 | 1.0s
[   182] loss=-2.4903 | res=2.00e-02 | grad=5.20e-01 | 1.0s
[   183] loss=-2.3293 | res=3.07e-02 | grad=6.11e-01 | 1.0s
