nohup: ignoring input
Running on: [RocmDevice(id=0)]
N_RUNS = 5
RCPM_GAMMA = 1.0
LANDMARK_METHOD = random
Manifolds: S2, T2

======================================================================
DEFAULT CONFIGURATION PARAMETERS (from src/base.py)
======================================================================

[ModelConfig]
  network_type:   mlp
  hidden_dims:    (128, 128)
  n_landmarks:    128
  use_layernorm:  True
  last_scale:     0.01
  activation:     silu
  leaky_slope:    0.01
  softplus_beta:  1
  max_dist:       3.14159

[SolverConfig]
  inner_steps:      2500
  inner_lr:         0.05
  grad_clip:        None
  lr_decay:         False
  tolerance:        1e-06
  min_steps:        1000
  momentum:         0.0
  logsumexp_init:   True
  logsumexp_gamma:  0.1
  use_adam:         True
  adam_beta1:       0.9
  adam_beta2:       0.999

[TrainingConfig]
  n_steps:        1000
  batch_size:     256
  learning_rate:  0.001
  lr_decay:       False
  lr_decay_alpha: 0.05
  log_every:      1
  eval_every:     None
  eval_size:      1024
  seed:           12345

======================================================================


======================================================================
MANIFOLD: S2
======================================================================

[Ours] Running 5 independent training runs...

  --- Run 1/5 (seed=12345) ---
[    65] loss=-0.7844 | res=1.36e-03 | grad=2.97e-01 | 1.0s
[    66] loss=-0.8005 | res=5.57e-04 | grad=1.83e-01 | 1.0s
[    67] loss=-0.8705 | res=1.23e-03 | grad=4.73e-01 | 1.0s
[    68] loss=-0.8456 | res=7.14e-04 | grad=7.71e-01 | 1.0s
[    69] loss=-0.7395 | res=2.54e-04 | grad=9.48e-01 | 1.0s
[    70] loss=-0.9711 | res=6.65e-04 | grad=3.58e-01 | 1.0s
[    71] loss=-0.7654 | res=3.72e-04 | grad=2.76e-01 | 1.0s
[    72] loss=-0.8987 | res=7.47e-04 | grad=3.72e-01 | 1.0s
[    73] loss=-0.7558 | res=1.29e-04 | grad=3.68e-01 | 1.0s
[    74] loss=-0.8314 | res=1.02e-03 | grad=1.65e-01 | 1.0s
[    75] loss=-0.8824 | res=8.90e-04 | grad=1.64e-01 | 1.0s
[    76] loss=-0.7614 | res=4.07e-04 | grad=2.45e-01 | 1.0s
[    77] loss=-0.8619 | res=4.42e-04 | grad=1.68e-01 | 0.9s
[    78] loss=-0.8929 | res=6.38e-04 | grad=7.20e-01 | 0.9s
[    79] loss=-0.8221 | res=6.36e-04 | grad=3.84e-01 | 0.9s
[    80] loss=-0.8182 | res=2.74e-04 | grad=2.27e-01 | 1.0s
[    81] loss=-0.8253 | res=3.65e-04 | grad=8.47e-01 | 1.0s
[    82] loss=-0.7195 | res=6.88e-04 | grad=6.40e-01 | 1.0s
[    83] loss=-0.7110 | res=1.43e-03 | grad=6.57e-01 | 1.0s
[    84] loss=-0.8062 | res=6.65e-04 | grad=5.69e-01 | 1.0s
[    85] loss=-0.8824 | res=4.05e-04 | grad=5.86e-01 | 1.0s
[    86] loss=-0.8107 | res=9.86e-04 | grad=5.90e-01 | 0.9s
[    87] loss=-0.7497 | res=3.31e-04 | grad=3.52e-01 | 0.9s
[    88] loss=-0.7815 | res=2.69e-04 | grad=4.09e-01 | 1.0s
[    89] loss=-0.7490 | res=1.11e-03 | grad=4.02e-01 | 1.0s
[    90] loss=-0.8052 | res=1.11e-03 | grad=3.60e-01 | 1.0s
[    91] loss=-0.7842 | res=1.09e-03 | grad=2.56e-01 | 1.1s
[    92] loss=-0.8502 | res=2.41e-04 | grad=4.22e-01 | 1.0s
[    93] loss=-0.8909 | res=1.43e-04 | grad=2.55e-01 | 1.1s
[    94] loss=-0.8951 | res=4.44e-04 | grad=4.26e-01 | 1.1s
[    95] loss=-0.8257 | res=9.01e-05 | grad=2.57e-01 | 1.1s
[    96] loss=-0.7898 | res=1.06e-03 | grad=3.38e-01 | 1.1s
[    97] loss=-0.8228 | res=2.78e-04 | grad=4.59e-01 | 1.1s
[    98] loss=-0.7973 | res=6.46e-04 | grad=2.09e-01 | 1.1s
[    99] loss=-0.8162 | res=4.82e-04 | grad=1.87e-01 | 1.1s
[   100] loss=-0.8552 | res=7.50e-04 | grad=4.54e-01 | 1.1s
[   101] loss=-0.9004 | res=1.32e-03 | grad=4.01e-01 | 1.1s
[   102] loss=-0.8804 | res=3.05e-04 | grad=2.30e-01 | 1.1s
[   103] loss=-0.7169 | res=3.04e-04 | grad=5.03e-01 | 1.1s
[   104] loss=-0.7445 | res=9.16e-04 | grad=5.47e-01 | 1.1s
[   105] loss=-0.7842 | res=7.62e-04 | grad=3.91e-01 | 1.1s
[   106] loss=-0.8643 | res=2.70e-04 | grad=2.14e-01 | 1.1s
[   107] loss=-0.7831 | res=6.46e-04 | grad=3.89e-01 | 1.1s
[   108] loss=-0.8123 | res=2.79e-04 | grad=4.30e-01 | 1.1s
[   109] loss=-0.8473 | res=6.47e-04 | grad=2.51e-01 | 1.1s
[   110] loss=-0.8041 | res=4.43e-04 | grad=4.12e-01 | 1.1s
[   111] loss=-0.7977 | res=8.98e-05 | grad=5.98e-01 | 1.1s
[   112] loss=-0.8862 | res=4.25e-04 | grad=3.48e-01 | 1.1s
[   113] loss=-0.8809 | res=3.63e-04 | grad=3.82e-01 | 1.1s
[   114] loss=-0.8718 | res=7.95e-04 | grad=2.16e-01 | 1.1s
[   115] loss=-0.8377 | res=7.42e-04 | grad=4.34e-01 | 0.9s
[   116] loss=-0.7887 | res=1.96e-04 | grad=2.53e-01 | 1.0s
[   117] loss=-0.8781 | res=1.08e-04 | grad=6.89e-01 | 1.0s
[   118] loss=-0.8621 | res=4.17e-04 | grad=4.68e-01 | 1.0s
[   119] loss=-0.7799 | res=3.14e-04 | grad=7.98e-01 | 1.0s
[   120] loss=-0.7494 | res=7.50e-04 | grad=8.51e-01 | 1.0s
[   121] loss=-0.8669 | res=1.09e-04 | grad=5.80e-01 | 1.0s
[   122] loss=-0.8393 | res=5.48e-04 | grad=4.02e-01 | 1.0s
[   123] loss=-0.7898 | res=1.25e-04 | grad=2.71e-01 | 1.0s
[   124] loss=-0.8008 | res=1.59e-04 | grad=4.82e-01 | 1.0s
[   125] loss=-0.8878 | res=4.50e-04 | grad=7.09e-01 | 1.0s
[   126] loss=-0.8632 | res=8.25e-04 | grad=9.05e-01 | 1.0s
[   127] loss=-0.8960 | res=2.53e-04 | grad=3.37e-01 | 1.0s
[   128] loss=-0.7663 | res=2.23e-04 | grad=8.16e-01 | 1.0s
[   129] loss=-0.8120 | res=2.49e-04 | grad=4.41e-01 | 1.0s
[   130] loss=-0.8071 | res=9.09e-04 | grad=3.39e-01 | 0.9s
[   131] loss=-0.8520 | res=4.73e-04 | grad=3.91e-01 | 1.0s
[   132] loss=-0.9316 | res=2.61e-04 | grad=7.26e-01 | 1.1s
[   133] loss=-0.7981 | res=7.77e-05 | grad=6.98e-01 | 1.1s
[   134] loss=-0.7519 | res=2.80e-04 | grad=8.84e-01 | 1.1s
