nohup: ignoring input
Running on: [RocmDevice(id=0)]
Running experiments on: sphere
Dimensions: [2, 5, 10, 20, 30, 40]
LANDMARK_METHOD = fps (candidates=4096)

======================================================================
DEFAULT CONFIGURATION PARAMETERS (from src/base.py)
======================================================================

[ModelConfig]
  network_type:   mlp
  hidden_dims:    (128, 128)
  n_landmarks:    128
  use_layernorm:  True
  last_scale:     0.01
  activation:     silu
  leaky_slope:    0.01
  softplus_beta:  1
  max_dist:       3.14159

[SolverConfig]
  inner_steps:      2500
  inner_lr:         0.05
  grad_clip:        None
  lr_decay:         False
  tolerance:        1e-06
  min_steps:        1000
  momentum:         0.0
  logsumexp_init:   True
  logsumexp_gamma:  0.1

[TrainingConfig]
  n_steps:        1000
  batch_size:     256
  learning_rate:  0.001
  lr_decay:       False
  lr_decay_alpha: 0.05
  log_every:      1
  eval_every:     None
  eval_size:      1024
  seed:           12345

======================================================================


======================================================================
RUNNING OUR METHOD ON SPHERE
======================================================================

[Ours] Training on S2...
/home/sjbhatt/anaconda3/envs/rcpms-jax/lib/python3.10/site-packages/jax/_src/ops/scatter.py:92: FutureWarning: scatter inputs have incompatible types: cannot safely cast value from dtype=int64 to dtype=int32 with jax_numpy_dtype_promotion='standard'. In future JAX releases this will result in an error.
  warnings.warn(
/home/sjbhatt/anaconda3/envs/rcpms-jax/lib/python3.10/site-packages/jax/_src/ops/scatter.py:92: FutureWarning: scatter inputs have incompatible types: cannot safely cast value from dtype=int64 to dtype=int32 with jax_numpy_dtype_promotion='standard'. In future JAX releases this will result in an error.
  warnings.warn(
[    59] loss=-0.8084 | res=5.13e-04 | grad=3.67e-01 | 1.1s
[    60] loss=-0.8729 | res=7.62e-09 | grad=6.01e-01 | 1.1s
[    61] loss=-0.8340 | res=3.66e-04 | grad=2.90e-01 | 1.1s
[    62] loss=-0.8094 | res=2.97e-09 | grad=3.69e-01 | 1.0s
[    63] loss=-0.7938 | res=1.42e-08 | grad=5.18e-01 | 1.1s
[    64] loss=-0.7849 | res=3.69e-09 | grad=3.24e-01 | 1.1s
[    65] loss=-0.7996 | res=1.61e-08 | grad=3.84e-01 | 1.1s
[    66] loss=-0.8701 | res=5.58e-09 | grad=5.34e-01 | 1.0s
[    67] loss=-0.8527 | res=1.57e-04 | grad=5.69e-01 | 1.1s
[    68] loss=-0.7465 | res=5.11e-04 | grad=7.07e-01 | 1.1s
[    69] loss=-0.9716 | res=5.68e-09 | grad=4.28e-01 | 1.1s
[    70] loss=-0.7670 | res=1.19e-04 | grad=3.17e-01 | 1.1s
[    71] loss=-0.8985 | res=2.10e-04 | grad=3.78e-01 | 1.1s
[    72] loss=-0.7538 | res=8.79e-09 | grad=4.22e-01 | 1.1s
[    73] loss=-0.8328 | res=6.95e-09 | grad=2.70e-01 | 1.1s
[    74] loss=-0.8844 | res=1.58e-04 | grad=2.02e-01 | 1.0s
[    75] loss=-0.7604 | res=2.46e-04 | grad=3.52e-01 | 1.1s
[    76] loss=-0.8625 | res=6.80e-09 | grad=1.66e-01 | 1.1s
[    77] loss=-0.8961 | res=6.47e-05 | grad=6.71e-01 | 1.1s
[    78] loss=-0.8223 | res=5.22e-05 | grad=4.10e-01 | 1.1s
[    79] loss=-0.8199 | res=1.74e-05 | grad=2.39e-01 | 1.1s
[    80] loss=-0.8254 | res=3.25e-05 | grad=7.10e-01 | 1.1s
[    81] loss=-0.7200 | res=5.61e-09 | grad=6.19e-01 | 1.1s
[    82] loss=-0.7124 | res=8.77e-05 | grad=7.09e-01 | 1.1s
[    83] loss=-0.8058 | res=6.01e-05 | grad=7.42e-01 | 1.1s
[    84] loss=-0.8857 | res=2.16e-04 | grad=6.97e-01 | 1.1s
[    85] loss=-0.8130 | res=2.49e-04 | grad=4.77e-01 | 1.1s
[    86] loss=-0.7501 | res=1.74e-04 | grad=3.82e-01 | 1.1s
[    87] loss=-0.7823 | res=9.94e-05 | grad=4.13e-01 | 1.1s
[    88] loss=-0.7503 | res=4.62e-09 | grad=3.80e-01 | 1.1s
[    89] loss=-0.8060 | res=4.92e-06 | grad=3.89e-01 | 1.1s
[    90] loss=-0.7843 | res=1.39e-08 | grad=3.36e-01 | 1.1s
[    91] loss=-0.8506 | res=7.03e-05 | grad=5.64e-01 | 1.1s
[    92] loss=-0.8918 | res=1.00e-04 | grad=2.43e-01 | 1.0s
[    93] loss=-0.8954 | res=3.83e-09 | grad=4.30e-01 | 1.1s
[    94] loss=-0.8275 | res=1.53e-04 | grad=2.60e-01 | 1.1s
[    95] loss=-0.7911 | res=1.09e-04 | grad=4.93e-01 | 1.1s
[    96] loss=-0.8227 | res=1.62e-08 | grad=5.66e-01 | 1.0s
[    97] loss=-0.7994 | res=1.29e-04 | grad=2.03e-01 | 1.1s
[    98] loss=-0.8169 | res=2.63e-04 | grad=2.21e-01 | 1.1s
[    99] loss=-0.8552 | res=2.56e-05 | grad=3.73e-01 | 1.1s
[   100] loss=-0.9014 | res=6.79e-09 | grad=4.55e-01 | 1.1s
[   101] loss=-0.8820 | res=1.04e-08 | grad=2.96e-01 | 1.1s
[   102] loss=-0.7158 | res=1.19e-04 | grad=4.95e-01 | 1.1s
[   103] loss=-0.7445 | res=1.95e-08 | grad=5.66e-01 | 1.1s
[   104] loss=-0.7849 | res=8.15e-05 | grad=4.14e-01 | 1.1s
[   105] loss=-0.8648 | res=1.01e-08 | grad=1.86e-01 | 1.1s
[   106] loss=-0.7844 | res=6.40e-05 | grad=3.83e-01 | 1.1s
[   107] loss=-0.8129 | res=7.00e-10 | grad=4.21e-01 | 1.1s
[   108] loss=-0.8488 | res=1.21e-04 | grad=3.25e-01 | 1.1s
[   109] loss=-0.8045 | res=7.30e-05 | grad=3.78e-01 | 1.1s
[   110] loss=-0.7977 | res=4.58e-05 | grad=6.70e-01 | 1.1s
[   111] loss=-0.8865 | res=8.74e-09 | grad=3.32e-01 | 1.1s
[   112] loss=-0.8804 | res=9.59e-05 | grad=4.35e-01 | 1.1s
[   113] loss=-0.8717 | res=2.88e-04 | grad=1.96e-01 | 1.1s
[   114] loss=-0.8369 | res=2.57e-04 | grad=5.23e-01 | 1.1s
[   115] loss=-0.7897 | res=2.80e-04 | grad=2.10e-01 | 1.1s
[   116] loss=-0.8800 | res=6.86e-05 | grad=6.53e-01 | 1.1s
[   117] loss=-0.8640 | res=6.43e-05 | grad=3.45e-01 | 1.1s
[   118] loss=-0.7788 | res=1.17e-04 | grad=8.08e-01 | 1.1s
[   119] loss=-0.7492 | res=1.12e-08 | grad=8.27e-01 | 1.1s
[   120] loss=-0.8675 | res=1.13e-04 | grad=6.98e-01 | 1.1s
[   121] loss=-0.8400 | res=1.87e-04 | grad=4.05e-01 | 1.1s
[   122] loss=-0.7880 | res=5.90e-05 | grad=4.46e-01 | 1.1s
[   123] loss=-0.8018 | res=5.58e-05 | grad=4.61e-01 | 1.1s
[   124] loss=-0.8922 | res=2.26e-04 | grad=5.67e-01 | 1.1s
[   125] loss=-0.8669 | res=1.57e-09 | grad=7.42e-01 | 1.1s
[   126] loss=-0.8982 | res=2.50e-04 | grad=3.32e-01 | 1.1s
[   127] loss=-0.7662 | res=1.55e-05 | grad=7.84e-01 | 1.1s
[   128] loss=-0.8116 | res=8.09e-06 | grad=4.82e-01 | 1.1s
[   129] loss=-0.8075 | res=6.03e-09 | grad=3.78e-01 | 1.1s
