nohup: ignoring input
Setting GPU: 7
Running on: [RocmDevice(id=0)]
Ablations: ['baseline', 'no_logsumexp_init', 'fewer_inner_steps_500', 'more_inner_steps_4000', 'inner_lr_5e-2', 'inner_lr_1e-3', 'logsumexp_gamma_1', 'logsumexp_gamma_0.01', 'logsumexp_gamma_0.001', 'no_adam', 'landmarks_fps', 'landmarks_32', 'landmarks_64', 'landmarks_256', 'hidden_32_32', 'hidden_64_64', 'hidden_256_256', 'hidden_128_128_128', 'lr_1e-4', 'batch_512', 'batch_128']
Manifolds: ['T10']

======================================================================
MANIFOLD: T10
======================================================================

[T10] Ablation: baseline
[     1] loss=-0.0779 | res=3.27e-03 | grad=6.38e+00 | 18.2s
[     2] loss=-0.2288 | res=2.91e-03 | grad=6.62e+00 | 1.1s
[     3] loss=-0.3598 | res=4.35e-03 | grad=6.63e+00 | 1.1s
[     4] loss=-0.5340 | res=4.83e-03 | grad=7.55e+00 | 1.1s
[     5] loss=-0.6229 | res=6.98e-03 | grad=7.40e+00 | 1.1s
[     6] loss=-0.8550 | res=9.49e-03 | grad=8.96e+00 | 1.1s
[     7] loss=-1.0216 | res=1.20e-02 | grad=9.37e+00 | 1.1s
[     8] loss=-1.1773 | res=1.36e-02 | grad=9.77e+00 | 1.1s
[     9] loss=-1.3477 | res=1.68e-02 | grad=1.01e+01 | 1.1s
[    10] loss=-1.5474 | res=1.64e-02 | grad=1.04e+01 | 1.1s
[    11] loss=-1.7567 | res=2.18e-02 | grad=1.09e+01 | 1.1s
[    12] loss=-1.9939 | res=2.74e-02 | grad=1.11e+01 | 1.0s
[    13] loss=-2.2204 | res=3.13e-02 | grad=1.11e+01 | 1.0s
[    14] loss=-2.2393 | res=2.86e-02 | grad=9.92e+00 | 1.0s
[    15] loss=-2.5425 | res=3.51e-02 | grad=1.05e+01 | 1.0s
[    16] loss=-2.6904 | res=3.52e-02 | grad=9.92e+00 | 1.0s
[    17] loss=-2.9048 | res=4.19e-02 | grad=9.83e+00 | 1.0s
[    18] loss=-3.0375 | res=4.47e-02 | grad=9.53e+00 | 1.0s
[    19] loss=-3.4240 | res=4.43e-02 | grad=1.02e+01 | 1.0s
[    20] loss=-3.4203 | res=5.15e-02 | grad=9.53e+00 | 1.0s
[    21] loss=-3.4699 | res=5.51e-02 | grad=9.21e+00 | 1.0s
[    22] loss=-3.6790 | res=5.99e-02 | grad=9.19e+00 | 1.0s
[    23] loss=-4.1999 | res=6.19e-02 | grad=9.73e+00 | 1.0s
[    24] loss=-4.1842 | res=6.84e-02 | grad=9.22e+00 | 1.0s
[    25] loss=-4.0964 | res=6.79e-02 | grad=8.84e+00 | 1.1s
[    26] loss=-4.4594 | res=7.54e-02 | grad=9.02e+00 | 1.0s
[    27] loss=-4.4951 | res=8.59e-02 | grad=8.80e+00 | 1.1s
[    28] loss=-4.7756 | res=8.66e-02 | grad=8.88e+00 | 1.1s
[    29] loss=-5.2261 | res=9.87e-02 | grad=9.13e+00 | 1.1s
[    30] loss=-5.3399 | res=9.86e-02 | grad=8.96e+00 | 1.1s
[    31] loss=-5.3158 | res=1.18e-01 | grad=8.56e+00 | 1.1s
[    32] loss=-5.4407 | res=1.21e-01 | grad=8.48e+00 | 1.1s
[    33] loss=-5.7430 | res=1.12e-01 | grad=8.62e+00 | 1.1s
[    34] loss=-6.1006 | res=1.19e-01 | grad=8.69e+00 | 1.1s
[    35] loss=-6.1465 | res=1.48e-01 | grad=8.46e+00 | 1.1s
[    36] loss=-6.3251 | res=1.54e-01 | grad=8.39e+00 | 1.1s
[    37] loss=-6.2900 | res=1.48e-01 | grad=8.15e+00 | 1.1s
[    38] loss=-7.0095 | res=1.75e-01 | grad=8.57e+00 | 1.1s
[    39] loss=-7.0291 | res=1.69e-01 | grad=8.15e+00 | 1.1s
[    40] loss=-7.1775 | res=1.82e-01 | grad=8.17e+00 | 1.1s
[    41] loss=-7.2985 | res=1.96e-01 | grad=8.09e+00 | 1.1s
[    42] loss=-7.5147 | res=2.14e-01 | grad=7.90e+00 | 1.1s
[    43] loss=-8.0898 | res=2.13e-01 | grad=8.15e+00 | 1.1s
[    44] loss=-7.9950 | res=2.52e-01 | grad=7.91e+00 | 1.0s
[    45] loss=-7.9664 | res=2.47e-01 | grad=7.62e+00 | 1.1s
[    46] loss=-8.0669 | res=2.50e-01 | grad=7.56e+00 | 1.1s
[    47] loss=-8.5589 | res=2.56e-01 | grad=7.66e+00 | 1.1s
[    48] loss=-8.6189 | res=2.80e-01 | grad=7.12e+00 | 1.0s
[    49] loss=-8.7098 | res=2.89e-01 | grad=7.03e+00 | 1.0s
[    50] loss=-9.1651 | res=3.11e-01 | grad=7.16e+00 | 1.1s
[    51] loss=-9.3639 | res=3.38e-01 | grad=6.75e+00 | 1.1s
[    52] loss=-9.5061 | res=3.54e-01 | grad=6.72e+00 | 1.0s
[    53] loss=-9.5596 | res=3.76e-01 | grad=6.35e+00 | 1.0s
[    54] loss=-9.6037 | res=3.91e-01 | grad=5.99e+00 | 1.0s
[    55] loss=-9.7336 | res=4.07e-01 | grad=5.77e+00 | 1.0s
[    56] loss=-9.8037 | res=4.22e-01 | grad=5.42e+00 | 1.0s
[    57] loss=-10.3119 | res=4.69e-01 | grad=5.36e+00 | 1.1s
[    58] loss=-10.3019 | res=4.54e-01 | grad=4.83e+00 | 1.0s
[    59] loss=-10.3064 | res=4.88e-01 | grad=4.43e+00 | 1.0s
[    60] loss=-10.6055 | res=5.34e-01 | grad=4.53e+00 | 1.0s
[    61] loss=-10.8569 | res=5.59e-01 | grad=4.07e+00 | 1.0s
[    62] loss=-10.6889 | res=5.52e-01 | grad=3.26e+00 | 1.0s
[    63] loss=-10.6187 | res=5.66e-01 | grad=2.95e+00 | 1.0s
[    64] loss=-10.8616 | res=6.30e-01 | grad=2.84e+00 | 1.0s
[    65] loss=-11.5107 | res=6.51e-01 | grad=2.71e+00 | 1.0s
[    66] loss=-11.0475 | res=6.50e-01 | grad=1.91e+00 | 1.0s
[    67] loss=-11.1697 | res=7.19e-01 | grad=1.54e+00 | 1.0s
[    68] loss=-11.2862 | res=6.93e-01 | grad=1.36e+00 | 1.0s
[    69] loss=-10.8609 | res=7.03e-01 | grad=1.21e+00 | 1.0s
[    70] loss=-11.3874 | res=7.95e-01 | grad=1.04e+00 | 1.0s
[    71] loss=-11.2676 | res=7.56e-01 | grad=9.48e-01 | 1.0s
[    72] loss=-10.7507 | res=7.92e-01 | grad=9.54e-01 | 1.0s
[    73] loss=-11.3981 | res=7.53e-01 | grad=9.89e-01 | 1.0s
[    74] loss=-11.2057 | res=7.88e-01 | grad=9.22e-01 | 1.0s
[    75] loss=-11.5932 | res=7.43e-01 | grad=9.90e-01 | 1.0s
[    76] loss=-11.3943 | res=7.33e-01 | grad=1.03e+00 | 1.0s
[    77] loss=-11.0544 | res=7.34e-01 | grad=1.09e+00 | 1.0s
[    78] loss=-11.0688 | res=7.14e-01 | grad=1.44e+00 | 1.0s
[    79] loss=-11.5845 | res=7.28e-01 | grad=9.06e-01 | 1.0s
[    80] loss=-11.3838 | res=7.41e-01 | grad=1.31e+00 | 1.0s
[    81] loss=-11.0608 | res=6.52e-01 | grad=1.26e+00 | 1.0s
[    82] loss=-10.8294 | res=6.83e-01 | grad=6.73e-01 | 1.0s
[    83] loss=-11.3112 | res=6.71e-01 | grad=1.05e+00 | 1.0s
[    84] loss=-11.5910 | res=6.24e-01 | grad=1.03e+00 | 1.1s
[    85] loss=-11.5753 | res=6.32e-01 | grad=1.19e+00 | 1.0s
[    86] loss=-11.2757 | res=5.86e-01 | grad=1.09e+00 | 1.0s
[    87] loss=-11.5108 | res=6.26e-01 | grad=9.36e-01 | 1.0s
[    88] loss=-10.8652 | res=6.61e-01 | grad=1.39e+00 | 1.0s
[    89] loss=-11.4163 | res=6.72e-01 | grad=1.58e+00 | 1.1s
[    90] loss=-10.9532 | res=6.43e-01 | grad=1.01e+00 | 1.0s
[    91] loss=-11.1640 | res=6.16e-01 | grad=1.16e+00 | 1.0s
[    92] loss=-11.5696 | res=6.23e-01 | grad=9.55e-01 | 1.1s
[    93] loss=-11.5324 | res=5.93e-01 | grad=1.51e+00 | 1.0s
[    94] loss=-11.2139 | res=6.02e-01 | grad=1.12e+00 | 1.0s
[    95] loss=-11.5467 | res=6.08e-01 | grad=9.91e-01 | 1.0s
[    96] loss=-11.6046 | res=6.38e-01 | grad=1.02e+00 | 1.0s
[    97] loss=-11.1468 | res=6.55e-01 | grad=1.11e+00 | 1.0s
[    98] loss=-11.4155 | res=6.37e-01 | grad=1.06e+00 | 1.0s
[    99] loss=-11.4429 | res=6.37e-01 | grad=9.21e-01 | 1.0s
[   100] loss=-11.3118 | res=6.47e-01 | grad=7.95e-01 | 1.0s
[   101] loss=-11.6289 | res=6.49e-01 | grad=1.16e+00 | 1.0s
[   102] loss=-11.0581 | res=6.23e-01 | grad=9.60e-01 | 1.0s
[   103] loss=-11.7808 | res=6.10e-01 | grad=8.79e-01 | 1.0s
[   104] loss=-11.0406 | res=5.78e-01 | grad=8.60e-01 | 1.0s
[   105] loss=-10.9111 | res=6.50e-01 | grad=1.16e+00 | 1.0s
[   106] loss=-10.9767 | res=6.25e-01 | grad=1.01e+00 | 1.0s
[   107] loss=-11.4645 | res=5.87e-01 | grad=1.05e+00 | 1.0s
[   108] loss=-11.3274 | res=5.62e-01 | grad=6.61e-01 | 1.0s
[   109] loss=-11.4534 | res=5.92e-01 | grad=8.73e-01 | 1.0s
[   110] loss=-11.2023 | res=5.86e-01 | grad=7.74e-01 | 1.0s
[   111] loss=-11.5521 | res=5.57e-01 | grad=9.01e-01 | 1.0s
[   112] loss=-11.2957 | res=5.77e-01 | grad=7.60e-01 | 1.0s
[   113] loss=-11.7051 | res=5.90e-01 | grad=9.06e-01 | 1.0s
[   114] loss=-11.3615 | res=5.50e-01 | grad=7.19e-01 | 1.0s
[   115] loss=-11.8147 | res=5.75e-01 | grad=8.84e-01 | 1.0s
[   116] loss=-11.2019 | res=6.03e-01 | grad=5.74e-01 | 1.0s
[   117] loss=-11.9940 | res=5.90e-01 | grad=1.39e+00 | 1.0s
[   118] loss=-11.6237 | res=6.05e-01 | grad=1.01e+00 | 1.0s
[   119] loss=-11.5815 | res=5.98e-01 | grad=9.54e-01 | 1.0s
[   120] loss=-11.4052 | res=5.83e-01 | grad=6.97e-01 | 1.0s
[   121] loss=-11.4334 | res=5.64e-01 | grad=6.53e-01 | 1.0s
[   122] loss=-11.4889 | res=5.63e-01 | grad=7.77e-01 | 1.0s
[   123] loss=-11.3362 | res=5.87e-01 | grad=9.06e-01 | 1.0s
[   124] loss=-11.8299 | res=5.96e-01 | grad=8.14e-01 | 1.0s
[   125] loss=-10.9745 | res=5.33e-01 | grad=9.60e-01 | 1.0s
[   126] loss=-11.5250 | res=5.64e-01 | grad=1.04e+00 | 1.0s
[   127] loss=-11.6575 | res=5.49e-01 | grad=1.18e+00 | 1.0s
[   128] loss=-11.7529 | res=5.87e-01 | grad=7.20e-01 | 1.0s
[   129] loss=-11.3233 | res=5.98e-01 | grad=6.87e-01 | 1.0s
[   130] loss=-11.0779 | res=5.71e-01 | grad=8.58e-01 | 1.0s
[   131] loss=-11.8652 | res=5.71e-01 | grad=9.52e-01 | 1.0s
[   132] loss=-11.5805 | res=5.60e-01 | grad=8.37e-01 | 1.0s
[   133] loss=-11.5809 | res=5.50e-01 | grad=8.08e-01 | 1.1s
[   134] loss=-11.8437 | res=5.38e-01 | grad=9.19e-01 | 1.1s
[   135] loss=-11.0527 | res=5.44e-01 | grad=7.86e-01 | 1.1s
[   136] loss=-11.5563 | res=5.86e-01 | grad=7.03e-01 | 1.1s
[   137] loss=-10.9482 | res=5.35e-01 | grad=1.10e+00 | 1.1s
[   138] loss=-11.1992 | res=5.74e-01 | grad=1.34e+00 | 1.1s
[   139] loss=-11.2893 | res=5.45e-01 | grad=9.68e-01 | 1.1s
[   140] loss=-11.5871 | res=5.26e-01 | grad=9.60e-01 | 1.1s
[   141] loss=-11.1671 | res=5.56e-01 | grad=7.71e-01 | 1.1s
[   142] loss=-11.4250 | res=5.61e-01 | grad=1.39e+00 | 1.1s
[   143] loss=-11.0169 | res=5.33e-01 | grad=7.05e-01 | 1.1s
[   144] loss=-11.4402 | res=5.03e-01 | grad=7.85e-01 | 1.1s
[   145] loss=-11.7256 | res=5.58e-01 | grad=9.45e-01 | 1.1s
[   146] loss=-11.3167 | res=5.33e-01 | grad=9.25e-01 | 1.1s
[   147] loss=-11.7604 | res=5.39e-01 | grad=6.40e-01 | 1.1s
[   148] loss=-11.7439 | res=5.32e-01 | grad=6.07e-01 | 1.1s
[   149] loss=-11.7397 | res=5.42e-01 | grad=8.58e-01 | 1.1s
[   150] loss=-11.5936 | res=5.99e-01 | grad=1.29e+00 | 1.1s
[   151] loss=-11.6122 | res=5.68e-01 | grad=6.87e-01 | 1.1s
[   152] loss=-11.3098 | res=5.25e-01 | grad=7.06e-01 | 1.1s
[   153] loss=-11.5361 | res=5.29e-01 | grad=7.18e-01 | 1.1s
[   154] loss=-10.9073 | res=5.15e-01 | grad=1.19e+00 | 1.1s
[   155] loss=-11.4970 | res=5.15e-01 | grad=9.98e-01 | 1.1s
[   156] loss=-11.3233 | res=5.38e-01 | grad=9.76e-01 | 1.0s
[   157] loss=-11.0713 | res=5.46e-01 | grad=1.00e+00 | 1.1s
[   158] loss=-11.4859 | res=5.27e-01 | grad=8.92e-01 | 1.0s
[   159] loss=-11.3121 | res=5.14e-01 | grad=6.64e-01 | 1.0s
[   160] loss=-10.8703 | res=5.03e-01 | grad=1.12e+00 | 1.1s
[   161] loss=-11.5220 | res=4.94e-01 | grad=1.15e+00 | 1.1s
[   162] loss=-11.4032 | res=5.14e-01 | grad=8.49e-01 | 1.1s
[   163] loss=-11.8842 | res=5.23e-01 | grad=1.18e+00 | 1.1s
[   164] loss=-11.8935 | res=5.45e-01 | grad=1.27e+00 | 1.1s
[   165] loss=-11.1863 | res=5.27e-01 | grad=8.94e-01 | 1.1s
[   166] loss=-11.5201 | res=5.45e-01 | grad=7.54e-01 | 1.1s
[   167] loss=-11.5074 | res=5.06e-01 | grad=1.01e+00 | 1.1s
[   168] loss=-11.0955 | res=5.09e-01 | grad=6.96e-01 | 1.1s
