nohup: ignoring input
Setting GPU: 6
Running on: [RocmDevice(id=0)]
Ablations: ['baseline', 'no_logsumexp_init', 'fewer_inner_steps_500', 'more_inner_steps_4000', 'inner_lr_5e-2', 'inner_lr_1e-3', 'logsumexp_gamma_1', 'logsumexp_gamma_0.01', 'logsumexp_gamma_0.001', 'no_adam', 'landmarks_fps', 'landmarks_32', 'landmarks_64', 'landmarks_256', 'hidden_32_32', 'hidden_64_64', 'hidden_256_256', 'hidden_128_128_128', 'lr_1e-4', 'batch_512', 'batch_128']
Manifolds: ['S10']

======================================================================
MANIFOLD: S10
======================================================================

[S10] Ablation: baseline
[    71] loss=-0.2165 | res=1.24e-05 | grad=4.01e-01 | 1.2s
[    72] loss=-0.2150 | res=4.69e-08 | grad=5.78e-01 | 1.2s
[    73] loss=-0.2226 | res=5.06e-08 | grad=5.82e-01 | 1.2s
[    74] loss=-0.2012 | res=3.71e-06 | grad=4.98e-01 | 1.2s
[    75] loss=-0.2264 | res=2.57e-06 | grad=7.34e-01 | 1.2s
[    76] loss=-0.2270 | res=5.80e-08 | grad=5.16e-01 | 1.2s
[    77] loss=-0.2244 | res=8.11e-08 | grad=6.84e-01 | 1.2s
[    78] loss=-0.2529 | res=5.18e-08 | grad=7.02e-01 | 1.2s
[    79] loss=-0.1847 | res=6.81e-05 | grad=9.45e-01 | 1.2s
[    80] loss=-0.1833 | res=1.07e-07 | grad=9.46e-01 | 1.2s
[    81] loss=-0.2327 | res=1.66e-05 | grad=4.03e-01 | 1.2s
[    82] loss=-0.1987 | res=5.41e-05 | grad=7.35e-01 | 1.2s
[    83] loss=-0.2497 | res=2.51e-05 | grad=6.78e-01 | 1.2s
[    84] loss=-0.2035 | res=7.98e-08 | grad=5.91e-01 | 1.2s
[    85] loss=-0.2393 | res=5.09e-08 | grad=7.18e-01 | 1.2s
[    86] loss=-0.1719 | res=1.15e-07 | grad=7.52e-01 | 1.2s
[    87] loss=-0.2216 | res=5.88e-08 | grad=5.01e-01 | 1.2s
[    88] loss=-0.2024 | res=8.63e-08 | grad=4.40e-01 | 1.2s
[    89] loss=-0.2043 | res=4.88e-08 | grad=7.19e-01 | 1.2s
[    90] loss=-0.2213 | res=7.18e-08 | grad=4.30e-01 | 1.2s
[    91] loss=-0.2263 | res=8.20e-08 | grad=9.30e-01 | 1.2s
[    92] loss=-0.2122 | res=5.94e-08 | grad=7.68e-01 | 1.2s
[    93] loss=-0.1972 | res=8.17e-06 | grad=6.46e-01 | 1.2s
[    94] loss=-0.2133 | res=4.21e-06 | grad=5.97e-01 | 1.2s
[    95] loss=-0.2281 | res=3.43e-08 | grad=5.71e-01 | 1.2s
[    96] loss=-0.2021 | res=5.07e-07 | grad=6.01e-01 | 1.2s
[    97] loss=-0.2171 | res=6.53e-08 | grad=7.26e-01 | 1.2s
[    98] loss=-0.1970 | res=7.76e-08 | grad=7.57e-01 | 1.2s
[    99] loss=-0.2177 | res=1.65e-05 | grad=5.36e-01 | 1.2s
[   100] loss=-0.2024 | res=5.76e-08 | grad=7.28e-01 | 1.2s
[   101] loss=-0.2319 | res=6.06e-08 | grad=6.37e-01 | 1.2s
[   102] loss=-0.1925 | res=5.82e-08 | grad=5.77e-01 | 1.2s
[   103] loss=-0.1920 | res=6.98e-08 | grad=5.62e-01 | 1.2s
[   104] loss=-0.2328 | res=9.32e-08 | grad=6.80e-01 | 1.2s
[   105] loss=-0.2066 | res=4.71e-06 | grad=6.57e-01 | 1.2s
[   106] loss=-0.2141 | res=5.06e-08 | grad=6.01e-01 | 1.2s
[   107] loss=-0.2326 | res=5.73e-08 | grad=6.38e-01 | 1.2s
[   108] loss=-0.2130 | res=1.11e-06 | grad=5.40e-01 | 1.2s
[   109] loss=-0.1948 | res=1.65e-05 | grad=4.55e-01 | 1.2s
[   110] loss=-0.2240 | res=1.31e-06 | grad=4.83e-01 | 1.2s
[   111] loss=-0.2180 | res=7.18e-08 | grad=8.17e-01 | 1.2s
[   112] loss=-0.2099 | res=4.42e-08 | grad=6.95e-01 | 1.2s
[   113] loss=-0.2263 | res=5.34e-08 | grad=6.90e-01 | 1.2s
